index,Rg_Voltage(mV)(Ch1_Ch2),Gen_Voltage(mV)(Ch2),GS_Voltage(mV)(Ch2),Rn_Voltage(mV)(Ch3),DS_Voltage(mV)(Ch4),Rg_Voltage(mV)(Ch1_Ch2_no_Un),GS_Voltage(mV)(Ch1_Ch2_no_Un)
190,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
191,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
192,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
193,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
194,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
195,0.0,2480.0,2480.0,8480.0,80.0,80.0,2240.0
196,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
197,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
198,80.0,2480.0,2480.0,8480.0,80.0,80.0,2240.0
199,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
200,80.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
201,80.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
202,80.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
203,80.0,2560.0,2560.0,8480.0,-80.0,80.0,2320.0
204,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
205,80.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
206,0.0,2480.0,2400.0,8480.0,0.0,0.0,2240.0
207,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
208,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
209,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
210,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
211,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
212,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
213,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
214,0.0,2560.0,2560.0,8400.0,0.0,80.0,2320.0
215,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
216,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
217,80.0,2480.0,2560.0,8400.0,0.0,80.0,2320.0
218,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
219,0.0,2560.0,2560.0,8400.0,0.0,80.0,2320.0
220,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
221,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
222,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
223,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
224,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
225,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
226,0.0,2560.0,2480.0,8400.0,-160.0,80.0,2320.0
227,80.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
228,80.0,2480.0,2560.0,8480.0,80.0,80.0,2240.0
229,80.0,2560.0,2560.0,8480.0,0.0,160.0,2320.0
230,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
231,0.0,2480.0,2480.0,8400.0,0.0,80.0,2240.0
232,0.0,2480.0,2480.0,8400.0,0.0,80.0,2240.0
233,80.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
