TimeUs,Urg (Ch1),Ugen,Ugs (Ch2),Urn (Ch3),Uds (Ch4)
71,1794.6666666666667,2362.6666666666665,600.0,4042.6666666666665,3784.0
72,1789.3333333333333,2357.3333333333335,600.0,4037.3333333333335,3789.3333333333335
73,1784.0,2357.3333333333335,600.0,4029.3333333333335,3794.6666666666665
74,1781.3333333333333,2354.6666666666665,600.0,4024.0,3800.0
75,1776.0,2349.3333333333335,600.0,4018.6666666666665,3808.0
76,1770.6666666666667,2344.0,597.3333333333334,4016.0,3816.0
77,1765.3333333333333,2338.6666666666665,597.3333333333334,4010.6666666666665,3821.3333333333335
78,1760.0,2333.3333333333335,597.3333333333334,4005.3333333333335,3824.0
79,1754.6666666666667,2328.0,600.0,4000.0,3832.0
80,1749.3333333333333,2325.3333333333335,600.0,3994.6666666666665,3837.3333333333335
81,1744.0,2320.0,602.6666666666666,3986.6666666666665,3845.3333333333335
82,1738.6666666666667,2314.6666666666665,602.6666666666666,3981.3333333333335,3853.3333333333335
83,1736.0,2309.3333333333335,602.6666666666666,3973.3333333333335,3861.3333333333335
84,1730.6666666666667,2306.6666666666665,602.6666666666666,3965.3333333333335,3866.6666666666665
85,1728.0,2298.6666666666665,600.0,3960.0,3874.6666666666665
86,1722.6666666666667,2293.3333333333335,597.3333333333334,3952.0,3880.0
87,1717.3333333333333,2288.0,600.0,3944.0,3885.3333333333335
88,1714.6666666666667,2282.6666666666665,600.0,3938.6666666666665,3890.6666666666665
89,1709.3333333333333,2277.3333333333335,600.0,3933.3333333333335,3896.0
90,1704.0,2272.0,597.3333333333334,3928.0,3904.0
91,1698.6666666666667,2266.6666666666665,597.3333333333334,3922.6666666666665,3912.0
92,1690.6666666666667,2261.3333333333335,600.0,3917.3333333333335,3920.0
93,1685.3333333333333,2256.0,600.0,3912.0,3928.0
94,1680.0,2250.6666666666665,600.0,3906.6666666666665,3936.0
95,1674.6666666666667,2242.6666666666665,600.0,3898.6666666666665,3944.0
96,1669.3333333333333,2240.0,597.3333333333334,3893.3333333333335,3952.0
97,1664.0,2234.6666666666665,597.3333333333334,3888.0,3957.3333333333335
98,1658.6666666666667,2229.3333333333335,597.3333333333334,3882.6666666666665,3962.6666666666665
99,1653.3333333333333,2221.3333333333335,597.3333333333334,3874.6666666666665,3968.0
100,1650.6666666666667,2216.0,597.3333333333334,3869.3333333333335,3973.3333333333335
101,1648.0,2210.6666666666665,597.3333333333334,3864.0,3978.6666666666665
102,1645.3333333333333,2205.3333333333335,597.3333333333334,3858.6666666666665,3986.6666666666665
103,1642.6666666666667,2194.6666666666665,597.3333333333334,3853.3333333333335,3994.6666666666665
104,1634.6666666666667,2189.3333333333335,597.3333333333334,3845.3333333333335,4002.6666666666665
105,1632.0,2184.0,597.3333333333334,3840.0,4008.0
106,1626.6666666666667,2181.3333333333335,600.0,3829.3333333333335,4013.3333333333335
107,1624.0,2176.0,602.6666666666666,3821.3333333333335,4021.3333333333335
108,1621.3333333333333,2170.6666666666665,602.6666666666666,3813.3333333333335,4029.3333333333335
109,1618.6666666666667,2165.3333333333335,602.6666666666666,3805.3333333333335,4037.3333333333335
110,1613.3333333333333,2160.0,602.6666666666666,3797.3333333333335,4042.6666666666665
111,1610.6666666666667,2157.3333333333335,600.0,3792.0,4048.0
112,1608.0,2154.6666666666665,600.0,3784.0,4053.3333333333335
113,1602.6666666666667,2149.3333333333335,600.0,3776.0,4058.6666666666665
114,1600.0,2141.3333333333335,600.0,3768.0,4066.6666666666665
115,1594.6666666666667,2136.0,600.0,3757.3333333333335,4072.0
116,1589.3333333333333,2130.6666666666665,602.6666666666666,3749.3333333333335,4077.3333333333335
117,1584.0,2122.6666666666665,600.0,3741.3333333333335,4085.3333333333335
118,1576.0,2117.3333333333335,600.0,3733.3333333333335,4093.3333333333335
119,1570.6666666666667,2112.0,600.0,3722.6666666666665,4101.333333333333
120,1565.3333333333333,2109.3333333333335,600.0,3712.0,4106.666666666667
121,1562.6666666666667,2104.0,597.3333333333334,3701.3333333333335,4112.0
122,1560.0,2098.6666666666665,594.6666666666666,3690.6666666666665,4117.333333333333
123,1554.6666666666667,2093.3333333333335,597.3333333333334,3680.0,4125.333333333333
124,1549.3333333333333,2088.0,597.3333333333334,3669.3333333333335,4133.333333333333
125,1544.0,2085.3333333333335,597.3333333333334,3661.3333333333335,4141.333333333333
126,1538.6666666666667,2080.0,600.0,3650.6666666666665,4149.333333333333
127,1533.3333333333333,2077.3333333333335,600.0,3637.3333333333335,4157.333333333333
128,1528.0,2072.0,600.0,3624.0,4165.333333333333
129,1522.6666666666667,2069.3333333333335,600.0,3616.0,4176.0
130,1517.3333333333333,2064.0,600.0,3608.0,4186.666666666667
131,1512.0,2058.6666666666665,602.6666666666666,3594.6666666666665,4194.666666666667
132,1506.6666666666667,2053.3333333333335,602.6666666666666,3586.6666666666665,4202.666666666667
133,1498.6666666666667,2053.3333333333335,602.6666666666666,3578.6666666666665,4210.666666666667
134,1493.3333333333333,2048.0,602.6666666666666,3570.6666666666665,4221.333333333333
135,1488.0,2042.6666666666667,602.6666666666666,3560.0,4229.333333333333
136,1485.3333333333333,2034.6666666666667,602.6666666666666,3549.3333333333335,4240.0
137,1477.3333333333333,2029.3333333333333,602.6666666666666,3538.6666666666665,4250.666666666667
138,1469.3333333333333,2024.0,602.6666666666666,3528.0,4261.333333333333
139,1461.3333333333333,2016.0,602.6666666666666,3517.3333333333335,4269.333333333333
140,1456.0,2008.0,602.6666666666666,3506.6666666666665,4280.0
141,1448.0,2002.6666666666667,602.6666666666666,3496.0,4290.666666666667
