index,Rg_Voltage(mV)(Ch1_Ch2),Gen_Voltage(mV)(Ch2),GS_Voltage(mV)(Ch2),Rn_Voltage(mV)(Ch3),DS_Voltage(mV)(Ch4),Rg_Voltage(mV)(Ch1_Ch2_no_Un),GS_Voltage(mV)(Ch1_Ch2_no_Un)
284,-480.0,3360.0,3920.0,8560.0,80.0,-560.0,3760.0
285,-400.0,3360.0,3920.0,8560.0,80.0,-560.0,3840.0
286,-480.0,3360.0,3920.0,8560.0,0.0,-560.0,3840.0
287,-480.0,3360.0,3920.0,8560.0,0.0,-480.0,3760.0
288,-480.0,3360.0,3920.0,8560.0,0.0,-560.0,3760.0
289,-480.0,3360.0,3920.0,8560.0,0.0,-560.0,3760.0
290,-480.0,3360.0,3920.0,8560.0,80.0,-560.0,3760.0
291,-400.0,3360.0,3920.0,8560.0,80.0,-560.0,3840.0
292,-480.0,3280.0,3920.0,8560.0,80.0,-560.0,3760.0
293,-480.0,3280.0,3920.0,8560.0,80.0,-560.0,3760.0
294,-480.0,3360.0,3920.0,8560.0,80.0,-640.0,3760.0
295,-480.0,3280.0,3920.0,8560.0,80.0,-560.0,3760.0
296,-480.0,3280.0,3920.0,8560.0,0.0,-560.0,3760.0
297,-480.0,3280.0,3920.0,8560.0,0.0,-560.0,3760.0
298,-480.0,3280.0,3920.0,8560.0,80.0,-560.0,3760.0
299,-480.0,3280.0,3920.0,8560.0,80.0,-560.0,3760.0
300,-480.0,3280.0,3920.0,8560.0,80.0,-640.0,3760.0
301,-480.0,3280.0,3920.0,8560.0,0.0,-640.0,3760.0
302,-480.0,3280.0,3920.0,8560.0,0.0,-560.0,3760.0
303,-480.0,3280.0,3920.0,8560.0,0.0,-640.0,3760.0
304,-480.0,3200.0,3920.0,8560.0,80.0,-640.0,3760.0
305,-480.0,3200.0,3840.0,8480.0,80.0,-640.0,3760.0
306,-560.0,3200.0,3920.0,8560.0,80.0,-640.0,3680.0
307,-560.0,3200.0,3840.0,8560.0,0.0,-640.0,3760.0
308,-560.0,3200.0,3840.0,8560.0,80.0,-640.0,3680.0
309,-560.0,3280.0,3920.0,8560.0,80.0,-640.0,3760.0
310,-480.0,3200.0,3840.0,8560.0,80.0,-640.0,3680.0
311,-560.0,3200.0,3840.0,8560.0,0.0,-640.0,3760.0
312,-560.0,3200.0,3840.0,8560.0,80.0,-640.0,3680.0
313,-480.0,3200.0,3840.0,8560.0,80.0,-640.0,3680.0
314,-560.0,3200.0,3840.0,8560.0,80.0,-640.0,3760.0
315,-560.0,3200.0,3840.0,8480.0,0.0,-640.0,3760.0
316,-560.0,3200.0,3840.0,8560.0,80.0,-640.0,3680.0
317,-560.0,3200.0,3840.0,8560.0,80.0,-640.0,3760.0
318,-560.0,3200.0,3840.0,8560.0,80.0,-640.0,3680.0
319,-560.0,3120.0,3840.0,8560.0,80.0,-640.0,3680.0
320,-560.0,3200.0,3840.0,8560.0,0.0,-640.0,3680.0
321,-560.0,3120.0,3840.0,8560.0,0.0,-640.0,3680.0
322,-560.0,3120.0,3840.0,8560.0,80.0,-640.0,3600.0
323,-560.0,3120.0,3840.0,8560.0,80.0,-640.0,3680.0
324,-560.0,3120.0,3840.0,8480.0,80.0,-640.0,3680.0
325,-560.0,3120.0,3840.0,8560.0,80.0,-640.0,3680.0
326,-560.0,3120.0,3840.0,8560.0,80.0,-640.0,3680.0
327,-640.0,3040.0,3840.0,8560.0,80.0,-640.0,3680.0
328,-560.0,3120.0,3760.0,8560.0,80.0,-640.0,3600.0
329,-560.0,3120.0,3760.0,8480.0,80.0,-720.0,3680.0
330,-560.0,3120.0,3840.0,8560.0,80.0,-720.0,3680.0
331,-560.0,3040.0,3760.0,8560.0,0.0,-720.0,3600.0
332,-560.0,3040.0,3840.0,8560.0,0.0,-720.0,3600.0
333,-640.0,3120.0,3840.0,8560.0,80.0,-720.0,3600.0
334,-640.0,3120.0,3760.0,8560.0,0.0,-720.0,3600.0
335,-640.0,3040.0,3840.0,8560.0,80.0,-720.0,3680.0
336,-560.0,3040.0,3760.0,8560.0,80.0,-640.0,3600.0
337,-640.0,3040.0,3760.0,8560.0,80.0,-640.0,3680.0
338,-640.0,3040.0,3760.0,8560.0,0.0,-640.0,3600.0
339,-640.0,3040.0,3760.0,8560.0,80.0,-640.0,3600.0
